visitor,total,items,itemTypes,visits,visitsNonPurchase,category,type,site
100001,97.5,3,2,3,1,Cat1,none,www.site1.com
100002,17.99,2,2,4,2,Cat2,none,www.site1.com
100003,34.98,1,1,2,1,Cat20,none,www.site1.com
100004,39.99,1,1,2,1,Cat3,Type1,www.site2.com
100005,43.52,2,1,2,1,Cat4,Type1,www.site3.com
100006,51.72,2,2,5,3,Cat5,Type2,www.site2.com
100007,53.43,6,6,7,1,Cat6,none,www.site1.com
100008,9.53,1,1,2,1,Cat3,Type1,www.site2.com
100009,231.2,12,3,4,1,Cat4,Type1,www.site3.com
100010,95.04,8,4,6,2,Cat7,none,www.site1.com
100011,479.0,1,1,2,1,Cat8,none,www.site1.com
100012,77.98,2,2,4,2,Cat9,none,www.site1.com
100013,18.22,1,1,2,1,none,none,www.site1.com
100014,296.59,14,12,13,1,Cat3,Type1,www.site2.com
100015,53.47,2,2,3,1,Cat10,none,www.site1.com
100016,98.3,4,4,5,1,Cat4,Type2,www.site2.com
100017,56.14,4,4,8,4,Cat11,none,www.site1.com
100018,89.02,3,2,3,1,Cat12,none,www.site1.com
100019,385.86,8,4,6,2,Cat13,Type3,www.site2.com
100020,69.59,10,10,11,1,Cat14,none,www.site1.com
100021,79.73,10,10,11,1,Cat15,none,www.site1.com
100022,870.26,19,19,22,3,Cat16,none,www.site1.com
100023,99.97,1,1,2,1,Cat17,none,www.site1.com
100024,9.85,1,1,2,1,Cat18,none,www.site1.com
100025,49.52,1,1,2,1,Cat17,none,www.site1.com
100026,576.89,28,20,22,2,Cat1,none,www.site1.com
100027,56.88,2,1,2,1,Cat19,Type1,www.site4.com
100028,97.18,3,2,3,1,none,none,www.site1.com
100029,55.36,4,4,5,1,Cat21,none,www.site1.com
100030,195.28,12,6,10,4,Cat22,Type2,www.site2.com
100031,182.34,12,8,12,4,Cat23,none,www.site1.com
100032,52.88,3,3,4,1,Cat3,Type1,www.site2.com
100033,5.0,1,1,2,1,Cat18,none,www.site1.com
100034,35.0,1,1,2,1,Cat24,none,www.site1.com
100035,158.0,2,2,4,2,Cat13,Type3,www.site2.com
100036,54.72,2,2,3,1,Cat24,none,www.site1.com
100037,79.76,6,6,7,1,Cat10,none,www.site1.com
100038,298.22,20,12,13,1,Cat25,none,www.site1.com
100039,39.99,1,1,2,1,Cat10,none,www.site1.com
100040,5.86,1,1,2,1,Cat5,Type1,www.site2.com
100041,52.46,4,4,5,1,none,none,www.site1.com
100042,196.96,8,6,7,1,Cat26,Type2,www.site5.com
100043,5.54,1,1,2,1,Cat3,Type1,www.site2.com
100044,156.89,5,5,7,2,Cat27,none,www.site1.com
100045,169.99,1,1,2,1,Cat29,none,www.site1.com
100046,36.45,2,2,3,1,Cat10,none,www.site1.com
100047,31.99,1,1,2,1,none,none,www.site1.com
100048,10.45,1,1,2,1,Cat30,none,www.site1.com
100049,24.93,2,2,3,1,Cat3,Type1,www.site2.com
100050,135.14,10,9,11,2,Cat21,none,www.site1.com
100051,15.0,1,1,2,1,Cat8,none,www.site1.com
100052,48.88,1,1,2,1,Cat4,Type1,www.site2.com
100053,126.21,3,2,3,1,none,none,www.site1.com
100054,34.31,1,1,2,1,Cat3,Type1,www.site2.com
100055,116.26,6,6,7,1,Cat31,none,www.site1.com
100056,91.14,12,12,13,1,none,none,www.site1.com
100057,159.4,14,12,14,2,Cat26,Type1,www.site5.com
100058,7.0,1,1,2,1,Cat19,Type2,www.site4.com
100059,11.23,2,2,4,2,Cat3,Type2,www.site2.com
100060,49.52,1,1,2,1,Cat17,none,www.site1.com
100061,63.42,8,7,8,1,Cat3,Type1,www.site2.com
100062,56.99,1,1,3,2,Cat1,none,www.site1.com
100063,39.0,1,1,3,2,Cat17,none,www.site1.com
100064,19.27,2,2,3,1,Cat3,Type1,www.site2.com
100065,305.69,2,2,3,1,Cat16,none,www.site1.com
100066,271.72,29,27,28,1,Cat32,none,www.site1.com
100067,3.19,1,1,2,1,Cat17,none,www.site1.com
100068,84.99,1,1,2,1,Cat33,none,www.site1.com
100069,135.99,2,2,3,1,Cat20,none,www.site1.com
100070,51.98,2,2,3,1,Cat3,Type1,www.site2.com
100071,20.24,2,2,3,1,Cat31,none,www.site1.com
100072,116.52,6,5,7,2,none,none,www.site1.com
100073,71.52,2,1,2,1,Cat14,none,www.site1.com
100074,254.33,6,5,7,2,none,none,www.site1.com
100075,58.88,4,4,5,1,Cat3,Type1,www.site2.com
100076,552.23,25,22,23,1,Cat12,none,www.site1.com
100077,85.5,4,4,6,2,Cat18,none,www.site1.com
100078,123.88,2,2,3,1,Cat20,none,www.site1.com
100079,78.26,5,4,5,1,Cat26,Type1,www.site5.com
100080,52.71,9,9,10,1,Cat34,none,www.site1.com
100081,85.47,8,4,6,2,Cat35,Type1,www.site10.com
100082,163.68,2,2,3,1,Cat30,none,www.site1.com
100083,70.77,3,3,5,2,Cat36,Type12,www.site7.com
100084,317.3,50,48,60,12,Cat26,Type1,www.site5.com
100085,43.69,2,2,3,1,none,none,www.site1.com
100086,46.85,1,1,2,1,Cat37,none,www.site1.com
100087,241.1,13,9,10,1,none,none,www.site1.com
100088,538.92,6,1,2,1,Cat19,Type1,www.site4.com
100089,22.74,2,2,3,1,Cat3,Type1,www.site2.com
100090,39.44,1,1,2,1,Cat32,none,www.site1.com
100091,272.65,12,5,7,2,Cat20,none,www.site1.com
100092,149.0,1,1,2,1,Cat3,Type1,www.site2.com
100093,52.06,5,5,6,1,Cat3,Type1,www.site2.com
100094,135.94,2,2,4,2,Cat25,none,www.site1.com
100095,34.95,1,1,2,1,Cat38,none,www.site1.com
100096,35.28,4,3,4,1,none,none,www.site1.com
100097,53.49,7,7,8,1,Cat23,none,www.site1.com
100098,33.96,2,2,3,1,none,none,www.site1.com
100099,78.0,1,1,2,1,Cat27,none,www.site1.com
100100,80.05,8,6,7,1,Cat45,Type1,www.site5.com
100101,153.99,2,2,4,2,Cat19,Type2,www.site4.com
100102,152.44,10,8,9,1,Cat3,Type1,www.site2.com
100103,19.77,1,1,2,1,Cat14,none,www.site1.com
100104,69.93,3,1,2,1,Cat3,Type1,www.site2.com
100105,366.42,8,8,9,1,Cat2,none,www.site1.com
100106,91.96,7,6,8,2,Cat12,none,www.site1.com
100107,51.58,5,5,6,1,Cat3,Type1,www.site2.com
100108,57.74,11,11,13,2,Cat39,Type1,www.site6.com
100109,110.44,4,3,5,2,none,none,www.site1.com
100110,29.85,2,2,3,1,Cat25,none,www.site1.com
100111,112.22,12,12,14,2,Cat4,Type1,www.site2.com
100112,170.98,13,11,12,1,Cat9,none,www.site1.com
100113,173.23,2,2,3,1,Cat40,none,www.site1.com
100114,24.95,1,1,2,1,Cat3,Type1,www.site2.com
100115,59.34,3,3,5,2,Cat1,none,www.site1.com
100116,72.69,7,6,8,2,Cat4,Type2,www.site2.com
100117,79.99,1,1,2,1,Cat36,Type2,www.site5.com
100118,202.39,9,9,10,1,Cat4,Type1,www.site3.com
100119,236.73,6,5,6,1,Cat16,none,www.site1.com
100120,268.48,22,13,15,2,Cat3,Type1,www.site2.com
100121,17.7,1,1,2,1,Cat39,Type1,www.site6.com
100122,64.69,6,5,7,2,Cat41,none,www.site1.com
100123,106.15,1,1,2,1,none,none,www.site1.com
100124,59.96,2,1,3,2,Cat36,Type1,www.site5.com
100125,61.27,4,3,4,1,Cat42,none,www.site1.com
100126,376.91,6,3,4,1,none,none,www.site1.com
100127,46.97,3,3,4,1,Cat21,none,www.site1.com
100128,91.76,1,1,2,1,Cat17,none,www.site1.com
100129,33.84,3,1,2,1,Cat31,none,www.site1.com
100130,57.0,3,3,4,1,Cat3,Type1,www.site2.com
100131,124.84,11,10,11,1,none,none,www.site1.com
100132,10.83,1,1,2,1,Cat39,Type1,www.site6.com
100133,55.67,6,6,10,4,Cat43,none,www.site1.com
100134,46.84,2,2,3,1,Cat44,none,www.site1.com
100135,52.75,4,4,5,1,none,none,www.site1.com
100136,149.96,6,6,8,2,Cat7,none,www.site1.com
100137,52.97,8,8,9,1,Cat26,Type2,www.site5.com
100138,43.97,2,2,4,2,Cat4,Type1,www.site3.com
100139,83.39,9,9,10,1,none,none,www.site1.com
100140,76.0,5,5,9,4,Cat3,Type1,www.site2.com
100141,20.0,1,1,2,1,none,none,www.site1.com
100142,295.44,4,3,5,2,Cat41,none,www.site1.com
100143,75.82,5,4,5,1,Cat14,none,www.site1.com
100144,22.92,2,2,3,1,Cat3,Type1,www.site2.com
100145,131.87,2,2,3,1,Cat24,none,www.site1.com
100146,54.5,4,4,5,1,none,none,www.site1.com
100147,103.98,1,1,2,1,Cat30,none,www.site1.com
100148,106.3,18,10,11,1,Cat39,Type1,www.site6.com
100149,315.27,15,4,6,2,Cat3,Type1,www.site2.com
100150,192.8,12,10,12,2,Cat14,none,www.site1.com
100151,90.0,1,1,2,1,none,none,www.site1.com
100152,12.45,1,1,2,1,Cat4,Type1,www.site3.com
100153,108.88,3,3,4,1,Cat1,none,www.site1.com
100154,314.51,29,26,32,6,Cat30,none,www.site1.com
100155,1.89,1,1,2,1,Cat3,Type1,www.site2.com
100156,71.54,4,4,6,2,Cat30,none,www.site1.com
100157,61.05,5,5,6,1,Cat54,none,www.site1.com
100158,9.97,1,1,2,1,none,none,www.site1.com
100159,66.84,14,11,12,1,Cat31,none,www.site1.com
100160,199.0,1,1,2,1,Cat20,none,www.site1.com
100161,488.0,2,2,3,1,Cat19,Type2,www.site4.com
100162,8.87,2,2,3,1,Cat11,none,www.site1.com
100163,24.46,2,2,4,2,none,none,www.site1.com
100164,19.06,1,1,2,1,Cat24,none,www.site1.com
100165,134.47,1,1,2,1,Cat3,Type1,www.site2.com
100166,124.19,9,6,7,1,none,none,www.site1.com
100167,7.5,1,1,2,1,Cat14,none,www.site1.com
100168,182.08,18,10,14,4,Cat23,none,www.site1.com
100169,98.98,15,13,16,3,Cat3,Type1,www.site2.com
100170,54.74,7,7,8,1,Cat18,none,www.site1.com
100171,45.99,1,1,2,1,Cat3,Type1,www.site2.com
100172,328.64,32,18,19,1,Cat10,none,www.site1.com
100173,50.94,9,9,10,1,Cat3,Type1,www.site2.com
100174,434.97,33,8,9,1,Cat12,none,www.site1.com
100175,39.99,1,1,2,1,Cat46,none,www.site1.com
100176,53.85,3,3,4,1,Cat41,none,www.site1.com
100177,4.99,1,1,2,1,Cat26,Type1,www.site5.com
100178,25.0,1,1,2,1,Cat3,Type1,www.site2.com
100179,22.42,1,1,2,1,Cat3,Type1,www.site2.com
100180,97.76,2,2,4,2,Cat14,none,www.site1.com
100181,90.14,6,3,4,1,Cat13,Type1,www.site3.com
100182,12.6,2,2,3,1,Cat3,Type1,www.site2.com
100183,195.52,2,1,2,1,Cat17,none,www.site1.com
100184,53.88,4,4,5,1,Cat10,none,www.site1.com
100185,113.72,20,17,18,1,Cat21,none,www.site1.com
100186,191.51,12,9,10,1,none,none,www.site1.com
100187,69.61,3,3,5,2,Cat3,Type1,www.site2.com
100188,163.83,5,2,3,1,Cat1,none,www.site1.com
100189,54.39,4,4,6,2,Cat15,none,www.site1.com
100190,3.96,2,1,2,1,Cat3,Type1,www.site2.com
100191,51.84,2,1,2,1,Cat47,none,www.site1.com
100192,50.51,9,9,10,1,Cat21,none,www.site1.com
100193,1119.84,4,2,4,2,Cat26,Type2,www.site5.com
100194,146.35,2,2,3,1,Cat1,none,www.site1.com
100195,109.0,1,1,2,1,Cat4,Type2,www.site2.com
100196,5.0,1,1,2,1,Cat48,Type1,www.site6.com
100197,155.75,10,9,12,3,Cat3,Type1,www.site2.com
100198,44.86,4,4,5,1,Cat25,none,www.site1.com
100199,54.76,2,2,4,2,Cat1,none,www.site1.com
100200,12.04,1,1,2,1,Cat18,none,www.site1.com
100201,16.42,2,2,4,2,Cat49,none,www.site1.com
100202,12.95,1,1,2,1,Cat21,none,www.site1.com
100203,24.96,1,1,2,1,Cat33,none,www.site1.com
100204,9.97,1,1,2,1,none,none,www.site1.com
100205,61.81,3,3,4,1,Cat16,none,www.site1.com
100206,85.0,4,4,6,2,Cat3,Type1,www.site2.com
100207,33.37,3,3,5,2,Cat23,none,www.site1.com
100208,93.14,3,2,3,1,Cat21,none,www.site1.com
100209,1243.67,88,29,30,1,Cat33,none,www.site1.com
100210,44.42,1,1,2,1,none,none,www.site1.com
100211,95.48,18,16,17,1,Cat14,none,www.site1.com
100212,89.96,2,2,4,2,Cat3,Type1,www.site2.com
100213,160.9,4,2,3,1,Cat98,none,www.site1.com
100214,57.5,2,2,4,2,Cat24,none,www.site1.com
100215,42.84,3,3,4,1,Cat49,none,www.site1.com
100216,187.96,2,2,3,1,Cat20,none,www.site1.com
100217,111.71,20,20,24,4,Cat6,none,www.site1.com
100218,172.47,19,14,16,2,Cat3,Type1,www.site2.com
100219,39.88,1,1,2,1,Cat50,none,www.site1.com
100220,49.97,1,1,2,1,Cat3,Type1,www.site2.com
100221,126.87,10,8,9,1,Cat25,none,www.site1.com
100222,389.21,58,44,46,2,Cat11,none,www.site1.com
100223,137.46,10,6,7,1,Cat25,none,www.site1.com
100224,360.0,3,1,2,1,none,none,www.site1.com
100225,299.25,5,1,2,1,Cat3,Type1,www.site2.com
100226,111.36,2,1,2,1,Cat30,none,www.site1.com
100227,44.21,5,4,5,1,Cat39,Type1,www.site6.com
100228,54.86,4,4,5,1,Cat12,none,www.site1.com
100229,85.92,3,3,4,1,Cat4,Type1,www.site3.com
100230,64.97,3,3,5,2,Cat26,Type4,www.site5.com
100231,279.0,1,1,2,1,Cat51,none,www.site1.com
100232,58.01,7,6,7,1,Cat3,Type1,www.site2.com
100233,113.44,15,12,13,1,Cat18,none,www.site1.com
100234,13.66,1,1,2,1,Cat4,Type1,www.site3.com
100235,17.97,1,1,2,1,Cat18,none,www.site1.com
100236,69.91,3,3,4,1,Cat52,none,www.site1.com
100237,30.82,2,2,3,1,Cat12,none,www.site1.com
100238,21.97,1,1,2,1,Cat10,none,www.site1.com
100239,82.58,4,3,4,1,Cat3,Type1,www.site2.com
100240,971.64,6,1,2,1,Cat23,none,www.site1.com
100241,99.97,1,1,2,1,Cat17,none,www.site1.com
100242,336.58,21,14,16,2,Cat25,none,www.site1.com
100243,39.99,1,1,2,1,Cat39,Type1,www.site6.com
100244,17.59,1,1,2,1,Cat30,none,www.site1.com
100245,321.52,38,32,36,4,none,none,www.site1.com
100246,93.37,9,8,9,1,Cat4,Type1,www.site2.com
100247,1256.34,90,60,66,6,Cat10,none,www.site1.com
100248,32.06,5,4,5,1,Cat4,Type1,www.site2.com
100249,674.97,6,6,12,6,Cat42,none,www.site1.com
100250,56.69,8,7,8,1,Cat13,Type2,www.site2.com
100251,72.0,6,1,2,1,Cat4,Type1,www.site3.com
100252,9.28,1,1,2,1,Cat15,none,www.site1.com
100253,225.84,19,10,11,1,Cat6,none,www.site1.com
100254,309.69,3,1,2,1,Cat3,Type1,www.site2.com
100255,3847.68,24,2,3,1,Cat12,none,www.site1.com
100256,50.0,1,1,2,1,Cat26,Type1,www.site5.com
100257,55.01,10,10,11,1,Cat47,none,www.site1.com
100258,94.32,8,8,9,1,Cat39,Type1,www.site6.com
100259,100.99,1,1,2,1,Cat3,Type1,www.site2.com
100260,399.71,11,6,7,1,none,none,www.site1.com
100261,149.52,3,3,6,3,Cat17,none,www.site1.com
100262,142.48,9,4,6,2,Cat53,none,www.site1.com
100263,71.86,7,7,8,1,Cat48,Type1,www.site6.com
100264,90.0,2,2,4,2,Cat40,none,www.site1.com
100265,113.71,4,4,5,1,Cat10,none,www.site1.com
100266,108.38,13,6,7,1,none,none,www.site1.com
100267,57.63,5,5,6,1,Cat54,none,www.site1.com
100268,55.32,2,2,3,1,Cat41,none,www.site1.com
100269,150.0,1,1,2,1,Cat16,none,www.site1.com
100270,24.95,1,1,2,1,Cat33,none,www.site1.com
100271,767.0,2,2,3,1,Cat3,Type1,www.site2.com
100272,104.97,1,1,2,1,Cat17,none,www.site1.com
100273,20.84,2,2,5,3,Cat17,none,www.site1.com
100274,62.2,8,7,11,4,Cat14,none,www.site1.com
100275,49.33,4,4,5,1,Cat43,none,www.site1.com
100276,73.99,1,1,2,1,Cat10,none,www.site1.com
100277,77.76,2,2,4,2,Cat55,none,www.site1.com
100278,16.84,2,2,3,1,Cat1,none,www.site1.com
100279,93.43,3,3,5,2,Cat3,Type1,www.site2.com
100280,61.37,5,4,5,1,Cat4,Type1,www.site2.com
100281,410.99,5,5,7,2,Cat17,none,www.site1.com
100282,61.68,7,7,8,1,Cat3,Type1,www.site2.com
100283,7.28,1,1,2,1,Cat21,none,www.site1.com
100284,129.0,1,1,2,1,Cat33,none,www.site1.com
100285,284.84,2,2,3,1,none,none,www.site1.com
100286,52.62,5,4,6,2,Cat14,none,www.site1.com
100287,19.49,6,6,7,1,Cat5,Type2,www.site3.com
100288,107.79,2,2,6,4,Cat3,Type1,www.site2.com
100289,104.68,12,12,14,2,Cat4,Type1,www.site2.com
100290,118.0,2,2,3,1,Cat3,Type1,www.site2.com
100291,213.0,2,2,3,1,Cat31,none,www.site1.com
100292,12.0,2,1,2,1,Cat52,none,www.site1.com
100293,16.18,2,2,3,1,Cat18,none,www.site1.com
100294,179.0,1,1,2,1,Cat8,none,www.site1.com
100295,248.0,1,1,2,1,Cat56,none,www.site1.com
100296,94.25,15,10,11,1,Cat30,none,www.site1.com
100297,5.0,1,1,2,1,Cat41,none,www.site1.com
100298,237.05,17,9,13,4,Cat4,Type1,www.site2.com
100299,118.37,7,5,6,1,none,none,www.site1.com
100300,19.0,1,1,2,1,Cat8,none,www.site1.com
100301,47.95,2,2,3,1,Cat8,none,www.site1.com
100302,36.14,2,2,4,2,Cat26,Type1,www.site5.com
100303,67.83,6,5,6,1,Cat11,none,www.site1.com
100304,41.9,3,3,4,1,Cat52,none,www.site1.com
100305,143.41,20,17,18,1,Cat57,none,www.site1.com
100306,9.99,1,1,2,1,Cat12,none,www.site1.com
100307,71.98,2,2,4,2,Cat14,none,www.site1.com
100308,22.82,1,1,2,1,Cat20,none,www.site1.com
100309,164.92,2,2,3,1,Cat3,Type1,www.site2.com
100310,193.0,2,2,4,2,Cat13,Type1,www.site3.com
100311,126.5,10,9,11,2,Cat20,none,www.site1.com
100312,57.94,3,3,4,1,Cat41,none,www.site1.com
100313,40.6,3,3,4,1,Cat13,Type1,www.site2.com
100314,98.17,1,1,2,1,Cat17,none,www.site1.com
100315,95.9,3,3,4,1,Cat58,none,www.site1.com
100316,54.22,6,6,9,3,Cat24,none,www.site1.com
100317,86.0,4,3,9,6,Cat13,Type1,www.site2.com
100318,99.97,1,1,2,1,Cat17,none,www.site1.com
100319,196.87,2,2,3,1,Cat31,none,www.site1.com
100320,143.92,5,2,3,1,none,none,www.site1.com
100321,51.46,5,5,6,1,Cat25,none,www.site1.com
100322,83.32,4,3,4,1,Cat16,none,www.site1.com
100323,57.76,6,6,8,2,Cat13,Type1,www.site2.com
100324,576.46,13,2,3,1,Cat3,Type1,www.site2.com
100325,209.61,5,2,3,1,none,none,www.site1.com
100326,363.22,1,1,2,1,Cat24,none,www.site1.com
100327,18.88,1,1,2,1,Cat98,none,www.site1.com
100328,83.34,7,7,9,2,Cat3,Type1,www.site2.com
100329,19.0,2,2,3,1,Cat14,none,www.site1.com
100330,9.98,1,1,2,1,Cat3,Type2,www.site2.com
100331,108.0,6,2,4,2,Cat19,Type1,www.site4.com
100332,206.07,8,7,8,1,Cat17,none,www.site1.com
100333,70.26,19,15,16,1,none,none,www.site1.com
100334,67.06,1,1,2,1,Cat3,Type1,www.site2.com
100335,859.75,13,3,4,1,Cat3,Type1,www.site2.com
100336,94.14,12,7,8,1,Cat41,none,www.site1.com
100337,6.23,1,1,2,1,Cat49,none,www.site1.com
100338,12.99,1,1,2,1,Cat8,none,www.site1.com
100339,60.82,9,9,10,1,Cat4,Type1,www.site3.com
100340,150.0,3,3,4,1,Cat3,Type1,www.site2.com
100341,6.87,1,1,2,1,Cat4,Type1,www.site2.com
100342,39.06,6,5,6,1,none,none,www.site1.com
100343,89.0,1,1,2,1,Cat27,none,www.site1.com
100344,114.58,10,10,11,1,Cat3,Type1,www.site2.com
100345,759.99,1,1,2,1,Cat3,Type1,www.site2.com
100346,95.79,5,4,6,2,Cat3,Type1,www.site2.com
100347,161.05,5,4,6,2,Cat11,none,www.site1.com
100348,57.88,9,9,10,1,Cat49,none,www.site1.com
100349,354.4,4,4,5,1,Cat3,Type1,www.site2.com
100350,22.07,1,1,2,1,Cat1,none,www.site1.com
100351,97.38,10,6,7,1,Cat14,none,www.site1.com
100352,227.99,2,2,3,1,Cat24,none,www.site1.com
100353,384.97,44,25,29,4,Cat40,none,www.site1.com
100354,81.66,11,9,10,1,Cat13,Type1,www.site3.com
100355,10.3,1,1,2,1,Cat11,none,www.site1.com
100356,22.31,5,5,6,1,Cat20,none,www.site1.com
100357,85.86,3,1,2,1,Cat25,none,www.site1.com
100358,184.97,3,3,6,3,Cat8,none,www.site1.com
100359,25.99,3,3,5,2,Cat4,Type1,www.site3.com
100360,175.54,42,38,42,4,Cat23,none,www.site1.com
100361,44.7,1,1,2,1,Cat19,Type2,www.site4.com
100362,28.38,1,1,2,1,Cat3,Type1,www.site2.com
100363,7.65,1,1,2,1,Cat4,Type1,www.site3.com
100364,719.92,4,4,8,4,Cat13,Type12,www.site2.com
100365,19.22,1,1,2,1,Cat10,none,www.site1.com
100366,4.73,1,1,2,1,Cat52,none,www.site1.com
100367,52.68,2,2,4,2,Cat25,none,www.site1.com
100368,204.87,2,2,4,2,Cat59,none,www.site1.com
100369,61.71,8,8,11,3,Cat60,none,www.site1.com
100370,114.96,10,10,14,4,Cat3,Type1,www.site2.com
100371,149.6,21,12,13,1,Cat3,Type1,www.site2.com
100372,627.96,6,3,5,2,none,none,www.site1.com
100373,32.0,2,1,2,1,Cat3,Type1,www.site2.com
100374,64.98,1,1,2,1,Cat25,none,www.site1.com
100375,172.2,10,10,12,2,Cat11,none,www.site1.com
100376,204.05,4,2,3,1,Cat3,Type1,www.site2.com
100377,11.94,2,2,3,1,Cat4,Type1,www.site3.com
100378,34.99,1,1,2,1,Cat4,Type1,www.site3.com
100379,57.24,5,5,6,1,Cat36,Type2,www.site5.com
100380,84.99,1,1,2,1,Cat20,none,www.site1.com
100381,138.23,3,3,4,1,none,none,www.site1.com
100382,310.0,1,1,2,1,Cat4,Type1,www.site3.com
100383,30.7,3,3,6,3,Cat31,none,www.site1.com
100384,116.48,20,20,22,2,Cat3,Type1,www.site2.com
100385,99.96,1,1,2,1,Cat19,Type2,www.site4.com
100386,108.96,17,13,17,4,Cat8,none,www.site1.com
100387,107.73,1,1,2,1,Cat17,none,www.site1.com
100388,107.73,1,1,2,1,Cat17,none,www.site1.com
100389,175.36,2,1,2,1,Cat4,Type1,www.site3.com
100390,50.23,3,3,4,1,Cat25,none,www.site1.com
100391,26.92,4,4,5,1,Cat4,Type1,www.site3.com
100392,996.0,20,2,4,2,Cat61,none,www.site1.com
100393,209.78,23,15,21,6,Cat39,Type1,www.site6.com
100394,160.32,2,2,4,2,Cat45,Type2,www.site5.com
100395,48.88,1,1,2,1,Cat17,none,www.site1.com
100396,128.99,2,2,3,1,Cat8,none,www.site1.com
100397,110.76,4,2,3,1,Cat58,none,www.site1.com
100398,76.92,8,8,9,1,none,none,www.site1.com
100399,46.66,2,2,3,1,Cat42,none,www.site1.com
100400,186.42,2,2,4,2,Cat11,none,www.site1.com
100401,14.99,1,1,2,1,Cat3,Type1,www.site2.com
100402,53.82,6,6,9,3,Cat4,Type1,www.site2.com
100403,55.71,2,2,3,1,Cat3,Type1,www.site2.com
100404,17.0,2,2,3,1,Cat4,Type1,www.site2.com
100405,52.87,2,2,3,1,Cat49,none,www.site1.com
100406,54.32,7,7,9,2,Cat4,Type2,www.site3.com
100407,69.12,13,13,14,1,Cat13,Type1,www.site3.com
100408,19.77,1,1,2,1,Cat62,none,www.site1.com
100409,171.03,22,8,9,1,Cat20,none,www.site1.com
100410,19.99,1,1,2,1,none,none,www.site1.com
100411,17.14,1,1,2,1,Cat63,none,www.site1.com
100412,885.69,13,2,3,1,Cat12,none,www.site1.com
100413,55.0,1,1,2,1,Cat24,none,www.site1.com
100414,89.87,1,1,2,1,Cat23,none,www.site1.com
100415,70.28,11,11,12,1,Cat31,none,www.site1.com
100416,402.73,8,2,3,1,Cat1,none,www.site1.com
100417,399.84,4,2,4,2,Cat26,Type2,www.site5.com
100418,147.0,1,1,2,1,Cat2,none,www.site1.com
100419,104.97,1,1,2,1,Cat17,none,www.site1.com
100420,73.88,2,2,3,1,Cat1,none,www.site1.com
100421,18.9,4,3,4,1,Cat6,none,www.site1.com
100422,26.25,3,2,3,1,Cat11,none,www.site1.com
100423,39.98,1,1,2,1,Cat5,Type2,www.site2.com
100424,24.0,2,2,3,1,Cat3,Type1,www.site2.com
100425,165.8,22,20,26,6,Cat26,Type2,www.site5.com
100426,140.28,6,3,4,1,none,none,www.site1.com
100427,172.71,15,15,18,3,Cat19,Type1,www.site4.com
100428,9.99,1,1,2,1,Cat36,Type1,www.site5.com
100429,52.97,7,7,8,1,Cat19,Type1,www.site4.com
100430,102.85,6,3,5,2,Cat42,none,www.site1.com
100431,55.75,6,6,7,1,Cat3,Type1,www.site2.com
100432,60.25,8,8,9,1,none,none,www.site1.com
100433,179.99,1,1,2,1,Cat64,none,www.site1.com
100434,110.72,11,11,12,1,Cat4,Type1,www.site3.com
100435,24.99,1,1,2,1,Cat27,none,www.site1.com
100436,34.0,2,2,4,2,Cat73,none,www.site1.com
100437,109.0,2,2,3,1,Cat3,Type1,www.site2.com
100438,3.29,1,1,2,1,Cat3,Type1,www.site2.com
100439,28.79,3,3,4,1,Cat36,Type2,www.site5.com
100440,136.36,5,3,4,1,Cat20,none,www.site1.com
100441,66.47,10,10,12,2,none,none,www.site1.com
100442,29.44,1,1,2,1,Cat24,none,www.site1.com
100443,38.04,4,3,4,1,Cat42,none,www.site1.com
100444,64.76,6,5,6,1,Cat11,none,www.site1.com
100445,24.28,1,1,4,3,Cat13,Type2,www.site3.com
100446,99.6,12,8,9,1,Cat19,Type1,www.site4.com
100447,99.95,1,1,2,1,Cat18,none,www.site1.com
100448,6.99,1,1,2,1,none,none,www.site1.com
100449,13.55,1,1,2,1,Cat9,none,www.site1.com
100450,6.0,1,1,2,1,Cat5,Type1,www.site2.com
100451,52.82,5,5,6,1,Cat18,none,www.site1.com
100452,69.94,2,2,4,2,Cat1,none,www.site1.com
100453,76.61,2,2,3,1,Cat17,none,www.site1.com
100454,70.31,4,4,6,2,Cat19,Type1,www.site4.com
100455,10.28,1,1,2,1,Cat4,Type1,www.site3.com
100456,44.99,1,1,2,1,Cat2,none,www.site1.com
100457,12.95,1,1,2,1,Cat2,none,www.site1.com
100458,34.76,3,3,4,1,Cat24,none,www.site1.com
100459,38.8,4,3,4,1,Cat45,Type1,www.site5.com
100460,79.99,1,1,2,1,Cat11,none,www.site1.com
100461,59.94,2,2,4,2,Cat13,Type2,www.site3.com
100462,104.84,7,6,7,1,Cat32,none,www.site1.com
100463,231.33,10,3,4,1,Cat30,none,www.site1.com
100464,271.5,12,8,9,1,Cat18,none,www.site1.com
100465,51.0,2,2,3,1,Cat36,Type2,www.site5.com
100466,548.0,1,1,2,1,Cat3,Type1,www.site2.com
100467,12.88,1,1,2,1,Cat4,Type2,www.site3.com
100468,24.77,3,3,6,3,Cat15,none,www.site1.com
100469,61.62,1,1,2,1,Cat18,none,www.site1.com
100470,10.0,2,2,4,2,Cat14,none,www.site1.com
100471,73.6,4,4,5,1,Cat4,Type1,www.site3.com
100472,299.72,3,3,4,1,Cat6,none,www.site1.com
100473,97.03,1,1,2,1,Cat17,none,www.site1.com
100474,188.94,9,9,10,1,Cat3,Type1,www.site2.com
